city,city_ascii,lat,lng,country,iso2,iso3,capital,admin_name,population,id
São José dos Campos,Sao Jose dos Campos,-23.1789,-45.8869,Brazil,BR,BRA,São Paulo,,729737.0,1076783887
Santo André,Santo Andre,-23.6572,-46.5333,Brazil,BR,BRA,São Paulo,,721368.0,1076625886
Jaboatão,Jaboatao,-8.1803,-35.0014,Brazil,BR,BRA,Pernambuco,,702621.0,1076000699
Ribeirão Prêto,Ribeirao Preto,-21.1783,-47.8067,Brazil,BR,BRA,São Paulo,,711825.0,1076524478
Osasco,Osasco,-23.5328,-46.7919,Brazil,BR,BRA,São Paulo,,694844.0,1076786452
Contagem,Contagem,-19.9319,-44.0539,Brazil,BR,BRA,Minas Gerais,,648766.0,1076845191
Sorocaba,Sorocaba,-23.5017,-47.4581,Brazil,BR,BRA,São Paulo,,644919.0,1076758708
Aracaju,Aracaju,-10.9167,-37.05,Brazil,BR,BRA,Sergipe,admin,632744.0,1076527830
Feira de Santana,Feira de Santana,-12.25,-38.95,Brazil,BR,BRA,Bahia,,617528.0,1076892244
Uberlândia,Uberlandia,-18.9231,-48.2886,Brazil,BR,BRA,Minas Gerais,,604013.0,1076495001
Cuiabá,Cuiaba,-15.5958,-56.0969,Brazil,BR,BRA,Mato Grosso,admin,585367.0,1076112309
Juiz de Fora,Juiz de Fora,-21.7619,-43.3494,Brazil,BR,BRA,Minas Gerais,,573285.0,1076006144
Londrina,Londrina,-23.31,-51.1628,Brazil,BR,BRA,Paraná,,548249.0,1076723241
Ananindeua,Ananindeua,-1.3658,-48.3719,Brazil,BR,BRA,Pará,,540410.0,1076025295
Joinvile,Joinvile,-26.3204,-48.8437,Brazil,BR,BRA,Santa Catarina,,515288.0,1076050637
Macapá,Macapa,0.033,-51.0653,Brazil,BR,BRA,Amapá,admin,512902.0,1076189884
Niterói,Niteroi,-22.8833,-43.1036,Brazil,BR,BRA,Rio de Janeiro,,496696.0,1076501425
Serra,Serra,-20.1289,-40.3078,Brazil,BR,BRA,Espírito Santo,,485376.0,1076191325
Florianópolis,Florianopolis,-27.6122,-48.4853,Brazil,BR,BRA,Santa Catarina,admin,477798.0,1076190259
Vila Velha,Vila Velha,-20.3364,-40.2936,Brazil,BR,BRA,Espírito Santo,,472762.0,1076404077
São José do Rio Prêto,Sao Jose do Rio Preto,-20.8081,-49.3811,Brazil,BR,BRA,São Paulo,,469173.0,1076760827
Campos,Campos,-21.7539,-41.3239,Brazil,BR,BRA,Rio de Janeiro,,463731.0,1076606365
Mauá,Maua,-23.6678,-46.4608,Brazil,BR,BRA,São Paulo,,453286.0,1076477498
Mogi das Cruzes,Mogi das Cruzes,-23.5228,-46.1878,Brazil,BR,BRA,São Paulo,,450785.0,1076857883
Diadema,Diadema,-23.6861,-46.6106,Brazil,BR,BRA,São Paulo,,426757.0,1076867279
Caxias do Sul,Caxias do Sul,-29.1667,-51.1833,Brazil,BR,BRA,Rio Grande do Sul,,435564.0,1076809957
Porto Velho,Porto Velho,-8.7619,-63.9039,Brazil,BR,BRA,Rondônia,admin,428527.0,1076045591
Boa Vista,Boa Vista,2.8194,-60.6714,Brazil,BR,BRA,Roraima,admin,419652.0,1076621300
Carapicuíba,Carapicuiba,-23.5192,-46.8358,Brazil,BR,BRA,São Paulo,,403183.0,1076874103
Rio Branco,Rio Branco,-9.9747,-67.81,Brazil,BR,BRA,Acre,admin,413418.0,1076391263
Campina Grande,Campina Grande,-7.2306,-35.8811,Brazil,BR,BRA,Paraíba,,405072.0,1076218697
Maringá,Maringa,-23.4,-51.9167,Brazil,BR,BRA,Paraná,,403063.0,1076013378
Jundiaí,Jundiai,-23.1858,-46.8839,Brazil,BR,BRA,São Paulo,,401896.0,1076998392
Olinda,Olinda,-8.0,-34.8833,Brazil,BR,BRA,Pernambuco,,393115.0,1076784718
Piracicaba,Piracicaba,-22.7253,-47.6492,Brazil,BR,BRA,São Paulo,,391449.0,1076166252
Betim,Betim,-19.9678,-44.1978,Brazil,BR,BRA,Minas Gerais,,378089.0,1076953384
Caucaia,Caucaia,-3.7167,-38.65,Brazil,BR,BRA,Ceará,,368918.0,1076870058
Bauru,Bauru,-22.315,-49.0608,Brazil,BR,BRA,São Paulo,,366992.0,1076905338
Anápolis,Anapolis,-16.3339,-48.9519,Brazil,BR,BRA,Goiás,,366491.0,1076208869
Blumenau,Blumenau,-26.9333,-49.05,Brazil,BR,BRA,Santa Catarina,,361855.0,1076618665
Montes Claros,Montes Claros,-16.7306,-43.8639,Brazil,BR,BRA,Minas Gerais,,361915.0,1076113275
Vitória,Vitoria,-20.2889,-40.3083,Brazil,BR,BRA,Espírito Santo,admin,355875.0,1076376829
Franca,Franca,-20.5389,-47.4008,Brazil,BR,BRA,São Paulo,,358539.0,1076740256
São Vicente,Sao Vicente,-23.9633,-46.3922,Brazil,BR,BRA,São Paulo,,355542.0,1076857089
Itaquaquecetuba,Itaquaquecetuba,-23.4864,-46.3486,Brazil,BR,BRA,São Paulo,,352801.0,1076942224
Cariacica,Cariacica,-20.2639,-40.42,Brazil,BR,BRA,Espírito Santo,,348738.0,1076479479
Caruaru,Caruaru,-8.2828,-35.9758,Brazil,BR,BRA,Pernambuco,,347088.0,1076397475
Vitória da Conquista,Vitoria da Conquista,-14.8658,-40.8389,Brazil,BR,BRA,Bahia,,343230.0,1076812020
Petrolina,Petrolina,-9.3928,-40.5078,Brazil,BR,BRA,Pernambuco,,337683.0,1076843988
Uberaba,Uberaba,-19.7478,-47.9319,Brazil,BR,BRA,Minas Gerais,,333783.0,1076230331
Ribeirão das Neves,Ribeirao das Neves,-19.7669,-44.0869,Brazil,BR,BRA,Minas Gerais,,331045.0,1076482220
Pelotas,Pelotas,-31.7719,-52.3425,Brazil,BR,BRA,Rio Grande do Sul,,328275.0,1076815692
Canoas,Canoas,-29.92,-51.18,Brazil,BR,BRA,Rio Grande do Sul,,323827.0,1076009922
Taubaté,Taubate,-23.025,-45.5556,Brazil,BR,BRA,São Paulo,,317915.0,1076146252
Guarujá,Guaruja,-23.9936,-46.2564,Brazil,BR,BRA,São Paulo,,311230.0,1076832747
Ponta Grossa,Ponta Grossa,-25.0994,-50.1583,Brazil,BR,BRA,Paraná,,311611.0,1076716439
Taboão da Serra,Taboao da Serra,-23.5328,-46.7994,Brazil,BR,BRA,São Paulo,,293652.0,1076000585
Santarém,Santarem,-2.43,-54.72,Brazil,BR,BRA,Pará,,306480.0,1076256494
Paulista,Paulista,-7.9408,-34.8728,Brazil,BR,BRA,Pernambuco,,300466.0,1076183876
Limeira,Limeira,-22.565,-47.4019,Brazil,BR,BRA,São Paulo,,300911.0,1076508566
Praia Grande,Praia Grande,-24.0061,-46.4028,Brazil,BR,BRA,São Paulo,,299261.0,1076548222
Petrópolis,Petropolis,-22.505,-43.1789,Brazil,BR,BRA,Rio de Janeiro,,298142.0,1076352504
Várzea Grande,Varzea Grande,-15.65,-56.1333,Brazil,BR,BRA,Mato Grosso,,287526.0,1076359879
Camaçari,Camacari,-12.6978,-38.3239,Brazil,BR,BRA,Bahia,,286919.0,1076610862
Suzano,Suzano,-23.5428,-46.3108,Brazil,BR,BRA,São Paulo,,285280.0,1076830201
Cascavel,Cascavel,-24.9556,-53.4553,Brazil,BR,BRA,Paraná,,286205.0,1076509946
Governador Valadares,Governador Valadares,-18.85,-41.9333,Brazil,BR,BRA,Minas Gerais,,281046.0,1076271003
Crato,Crato,-7.4639,-63.04,Brazil,BR,BRA,Amazonas,,273883.0,1076425706
Volta Redonda,Volta Redonda,-22.5228,-44.1039,Brazil,BR,BRA,Rio de Janeiro,,273988.0,1076343513
Palmas,Palmas,-10.1844,-48.3336,Brazil,BR,BRA,Tocantins,admin,272726.0,1076052802
Sumaré,Sumare,-22.8219,-47.2669,Brazil,BR,BRA,São Paulo,,265955.0,1076684312
Marabá,Maraba,-5.35,-49.1167,Brazil,BR,BRA,Pará,,266932.0,1076974144
Barueri,Barueri,-23.5111,-46.8764,Brazil,BR,BRA,São Paulo,,262275.0,1076211114
São José dos Pinhais,Sao Jose dos Pinhais,-25.535,-49.2058,Brazil,BR,BRA,Paraná,,264210.0,1076174955
Mossoró,Mossoro,-5.1878,-37.3439,Brazil,BR,BRA,Rio Grande do Norte,,259815.0,1076461194
Indaiatuba,Indaiatuba,-23.0903,-47.2181,Brazil,BR,BRA,São Paulo,,256223.0,1076347789
Foz do Iguaçu,Foz do Iguacu,-25.54,-54.5875,Brazil,BR,BRA,Paraná,,256088.0,1076025805
Gravataí,Gravatai,-29.9333,-50.9833,Brazil,BR,BRA,Rio Grande do Sul,,255660.0,1076919841
São Carlos,Sao Carlos,-22.0,-47.8908,Brazil,BR,BRA,São Paulo,,254484.0,1076673445
São José,Sao Jose,-27.6,-48.6167,Brazil,BR,BRA,Santa Catarina,,250181.0,1076689151
Juazeiro do Norte,Juazeiro do Norte,-7.2,-39.3333,Brazil,BR,BRA,Ceará,,249939.0,1076912078
Imperatriz,Imperatriz,-5.5333,-47.4833,Brazil,BR,BRA,Maranhão,,247505.0,1076486025
Americana,Americana,-22.7386,-47.3311,Brazil,BR,BRA,São Paulo,,244270.0,1076922153
Santa Maria,Santa Maria,-29.6833,-53.8,Brazil,BR,BRA,Rio Grande do Sul,,243611.0,1076178738
Ipatinga,Ipatinga,-19.5,-42.5333,Brazil,BR,BRA,Minas Gerais,,239468.0,1076484921
Marília,Marilia,-22.2139,-49.9458,Brazil,BR,BRA,São Paulo,,240590.0,1076042151
Novo Hamburgo,Novo Hamburgo,-29.6778,-51.1308,Brazil,BR,BRA,Rio Grande do Sul,,238940.0,1076221386
Viamão,Viamao,-30.0808,-51.0228,Brazil,BR,BRA,Rio Grande do Sul,,239384.0,1076314777
Jacareí,Jacarei,-23.3053,-45.9658,Brazil,BR,BRA,São Paulo,,235416.0,1076592769
Macaé,Macae,-22.3708,-41.7869,Brazil,BR,BRA,Rio de Janeiro,,234628.0,1076074287
Arapiraca,Arapiraca,-9.7519,-36.6608,Brazil,BR,BRA,Alagoas,,233047.0,1076615737
Cotia,Cotia,-23.6042,-46.9194,Brazil,BR,BRA,São Paulo,,229548.0,1076098590
Rondonópolis,Rondonopolis,-16.4667,-54.6333,Brazil,BR,BRA,Mato Grosso,,228857.0,1076627175
Magé,Mage,-22.6528,-43.0408,Brazil,BR,BRA,Rio de Janeiro,,227322.0,1076385139
Araraquara,Araraquara,-21.7939,-48.1758,Brazil,BR,BRA,São Paulo,,226508.0,1076251019
Itapevi,Itapevi,-23.5489,-46.9342,Brazil,BR,BRA,São Paulo,,223404.0,1076008789
Chapecó,Chapeco,-27.0958,-52.6178,Brazil,BR,BRA,Santa Catarina,,224013.0,1076258255
Presidente Prudente,Presidente Prudente,-22.1256,-51.3889,Brazil,BR,BRA,São Paulo,,222192.0,1076239965
Santa Luzia,Santa Luzia,-19.77,-43.8506,Brazil,BR,BRA,Minas Gerais,,220444.0,1076123204
Juazeiro,Juazeiro,-9.4306,-40.5028,Brazil,BR,BRA,Bahia,,220253.0,1076632040
Itabuna,Itabuna,-14.7858,-39.28,Brazil,BR,BRA,Bahia,,219680.0,1076003792
Hortolândia,Hortolandia,-22.8583,-47.22,Brazil,BR,BRA,São Paulo,,215819.0,1076591779
Itaboraí,Itaborai,-22.7439,-42.8589,Brazil,BR,BRA,Rio de Janeiro,,218008.0,1076964860
São Leopoldo,Sao Leopoldo,-29.76,-51.1469,Brazil,BR,BRA,Rio Grande do Sul,,214087.0,1076834293
Sete Lagoas,Sete Lagoas,-19.4658,-44.2469,Brazil,BR,BRA,Minas Gerais,,214152.0,1076863850
Divinópolis,Divinopolis,-20.1389,-44.8839,Brazil,BR,BRA,Minas Gerais,,213016.0,1076716552
Colombo,Colombo,-25.2919,-49.2239,Brazil,BR,BRA,Paraná,,212967.0,1076976439
Criciúma,Criciuma,-28.6775,-49.3697,Brazil,BR,BRA,Santa Catarina,,211369.0,1076000206
Maracanaú,Maracanau,-3.8667,-38.6333,Brazil,BR,BRA,Ceará,,209057.0,1076848743
Santo Agostinho,Santo Agostinho,-8.2897,-35.03,Brazil,BR,BRA,Pernambuco,,208944.0,1076363089
Passo Fundo,Passo Fundo,-28.25,-52.4,Brazil,BR,BRA,Rio Grande do Sul,,204722.0,1076763340
Parnamirim,Parnamirim,-5.9167,-35.25,Brazil,BR,BRA,Rio Grande do Norte,,202456.0,1076600360
Rio Claro,Rio Claro,-22.4108,-47.5608,Brazil,BR,BRA,São Paulo,,199961.0,1076411428
Alvorada,Alvorada,-29.9897,-51.0833,Brazil,BR,BRA,Rio Grande do Sul,,195673.0,1076999998
Araçatuba,Aracatuba,-21.2089,-50.4328,Brazil,BR,BRA,São Paulo,,198129.0,1076630308
Rio Grande,Rio Grande,-32.035,-52.0986,Brazil,BR,BRA,Rio Grande do Sul,,197228.0,1076567920
Castanhal,Castanhal,-1.2969,-47.9219,Brazil,BR,BRA,Pará,,192571.0,1076216938
Ferraz de Vasconcelos,Ferraz de Vasconcelos,-23.5411,-46.3689,Brazil,BR,BRA,São Paulo,,184700.0,1076173995
Santa Bárbara d’Oeste,Santa Barbara d'Oeste,-22.7544,-47.4142,Brazil,BR,BRA,São Paulo,,190139.0,1076199404
Cachoeiro de Itapemirim,Cachoeiro de Itapemirim,-20.8489,-41.1128,Brazil,BR,BRA,Espírito Santo,,189889.0,1076536175
Angra dos Reis,Angra dos Reis,-23.0067,-44.3181,Brazil,BR,BRA,Rio de Janeiro,,188276.0,1076039737
Sobral,Sobral,-3.6739,-40.2389,Brazil,BR,BRA,Ceará,,188233.0,1076577102
Cabo Frio,Cabo Frio,-22.8789,-42.0189,Brazil,BR,BRA,Rio de Janeiro,,186227.0,1076449553
Nossa Senhora do Socorro,Nossa Senhora do Socorro,-10.855,-37.0592,Brazil,BR,BRA,Sergipe,,185706.0,1076881156
Itajaí,Itajai,-26.9,-48.6667,Brazil,BR,BRA,Santa Catarina,,183373.0,1076348188
Dourados,Dourados,-22.2208,-54.8058,Brazil,BR,BRA,Mato Grosso do Sul,,182747.0,1076544482
Nova Friburgo,Nova Friburgo,-22.2819,-42.5311,Brazil,BR,BRA,Rio de Janeiro,,182082.0,1076922983
Ilhéus,Ilheus,-14.7889,-39.0489,Brazil,BR,BRA,Bahia,,180213.0,1076021121
Barra Mansa,Barra Mansa,-22.5439,-44.1708,Brazil,BR,BRA,Rio de Janeiro,,179915.0,1076686083
Linhares,Linhares,-19.3894,-40.0678,Brazil,BR,BRA,Espírito Santo,,176688.0,1076355611
Rio Verde,Rio Verde,-17.745,-50.9167,Brazil,BR,BRA,Goiás,,176424.0,1076844683
Luziânia,Luziania,-16.2528,-47.95,Brazil,BR,BRA,Goiás,,174531.0,1076073549
São Caetano do Sul,Sao Caetano do Sul,-23.7,-46.55,Brazil,BR,BRA,São Paulo,,161957.0,1076527920
Francisco Morato,Francisco Morato,-23.2817,-46.7425,Brazil,BR,BRA,São Paulo,,168243.0,1076808330
Itapecerica da Serra,Itapecerica da Serra,-23.7172,-46.8494,Brazil,BR,BRA,São Paulo,,167236.0,1076163359
Guarapuava,Guarapuava,-25.3833,-51.45,Brazil,BR,BRA,Paraná,,167328.0,1076415327
Itu,Itu,-23.2642,-47.2992,Brazil,BR,BRA,São Paulo,,167095.0,1076622789
Teresópolis,Teresopolis,-22.4119,-42.9658,Brazil,BR,BRA,Rio de Janeiro,,163746.0,1076000296
São José de Ribamar,Sao Jose de Ribamar,-2.55,-44.05,Brazil,BR,BRA,Maranhão,,163045.0,1076976057
Jequié,Jequie,-13.863,-40.0843,Brazil,BR,BRA,Bahia,,161528.0,1076558785
Ibirité,Ibirite,-20.0219,-44.0589,Brazil,BR,BRA,Minas Gerais,,158954.0,1076368194
Bragança Paulista,Braganca Paulista,-22.9531,-46.5422,Brazil,BR,BRA,São Paulo,,160665.0,1076245528
Pindamonhangaba,Pindamonhangaba,-22.9239,-45.4617,Brazil,BR,BRA,São Paulo,,160614.0,1076937468
Teixeira de Freitas,Teixeira de Freitas,-17.5403,-39.7437,Brazil,BR,BRA,Bahia,,157804.0,1076918835
Camarajibe,Camarajibe,-8.0219,-34.9808,Brazil,BR,BRA,Pernambuco,,155054.0,1076738662
Itapetininga,Itapetininga,-23.5917,-48.0531,Brazil,BR,BRA,São Paulo,,157016.0,1076425970
Lajes,Lajes,-27.8158,-50.3258,Brazil,BR,BRA,Santa Catarina,,156727.0,1076517475
Timon,Timon,-5.0939,-42.8369,Brazil,BR,BRA,Maranhão,,155460.0,1076758286
Caxias,Caxias,-4.8589,-43.3558,Brazil,BR,BRA,Maranhão,,155129.0,1076325693
Alagoinhas,Alagoinhas,-12.1358,-38.4189,Brazil,BR,BRA,Bahia,,154495.0,1076155953
Barreiras,Barreiras,-12.1483,-44.9925,Brazil,BR,BRA,Bahia,,153918.0,1076854674
Poços de Caldas,Pocos de Caldas,-21.7878,-46.5608,Brazil,BR,BRA,Minas Gerais,,152435.0,1076336113
Abaetetuba,Abaetetuba,-1.7178,-48.8828,Brazil,BR,BRA,Pará,,151934.0,1076974632
Patos de Minas,Patos de Minas,-18.5817,-46.5147,Brazil,BR,BRA,Minas Gerais,,150833.0,1076100026
Pôrto Seguro,Porto Seguro,-16.4333,-39.0833,Brazil,BR,BRA,Bahia,,150658.0,1076932180
Araguaína,Araguaina,-7.1908,-48.2069,Brazil,BR,BRA,Tocantins,,150484.0,1076632868
Mogi Guaçu,Mogi Guacu,-22.3719,-46.9419,Brazil,BR,BRA,São Paulo,,147233.0,1076749992
Franco da Rocha,Franco da Rocha,-23.3286,-46.7244,Brazil,BR,BRA,São Paulo,,145755.0,1076071582
Parnaíba,Parnaiba,-2.905,-41.7769,Brazil,BR,BRA,Piauí,,145705.0,1076568871
Jaú,Jau,-22.2958,-48.5578,Brazil,BR,BRA,São Paulo,,143283.0,1076312559
Jaraguá do Sul,Jaragua do Sul,-26.4833,-49.0667,Brazil,BR,BRA,Santa Catarina,,143123.0,1076588128
Rio das Ostras,Rio das Ostras,-22.5269,-41.945,Brazil,BR,BRA,Rio de Janeiro,,141117.0,1076148122
Paranaguá,Paranagua,-25.5208,-48.5094,Brazil,BR,BRA,Paraná,,140469.0,1076265266
Botucatu,Botucatu,-22.8858,-48.445,Brazil,BR,BRA,São Paulo,,139483.0,1076113865
Brusque,Brusque,-27.0949,-48.9148,Brazil,BR,BRA,Santa Catarina,,137689.0,1076418225
Palhoça,Palhoca,-27.6444,-48.6678,Brazil,BR,BRA,Santa Catarina,,137334.0,1076000559
Atibaia,Atibaia,-23.1172,-46.5506,Brazil,BR,BRA,São Paulo,,137187.0,1076042485
Garanhuns,Garanhuns,-8.8903,-36.4928,Brazil,BR,BRA,Pernambuco,,136949.0,1076673653
Santa Rita,Santa Rita,-7.1139,-34.9778,Brazil,BR,BRA,Paraíba,,134940.0,1076661082
Teófilo Otoni,Teofilo Otoni,-17.8578,-41.505,Brazil,BR,BRA,Minas Gerais,,134745.0,1076465745
Marituba,Marituba,-10.2833,-36.4,Brazil,BR,BRA,Alagoas,,133685.0,1076858443
Jandira,Jandira,-23.5278,-46.9028,Brazil,BR,BRA,São Paulo,,126356.0,1076873964
Crato,Crato,-7.2339,-39.4089,Brazil,BR,BRA,Ceará,,133031.0,1076894967
Sinop,Sinop,-11.8481,-55.6492,Brazil,BR,BRA,Mato Grosso,,132934.0,1076876295
Cametá,Cameta,-2.2439,-49.4958,Brazil,BR,BRA,Pará,,132515.0,1076010069
Cubatão,Cubatao,-23.8953,-46.4256,Brazil,BR,BRA,São Paulo,,131626.0,1076384228
Ji-Paraná,Ji-Parana,-10.8853,-61.9517,Brazil,BR,BRA,Rondônia,,131560.0,1076313540
Pouso Alegre,Pouso Alegre,-22.2281,-45.9336,Brazil,BR,BRA,Minas Gerais,,130615.0,1076082333
Vitória de Santo Antão,Vitoria de Santo Antao,-8.1264,-35.3075,Brazil,BR,BRA,Pernambuco,,129974.0,1076843224
Araras,Araras,-22.3572,-47.3844,Brazil,BR,BRA,São Paulo,,128895.0,1076656148
Maricá,Marica,-22.9189,-42.8189,Brazil,BR,BRA,Rio de Janeiro,,127461.0,1076927018
Balneário de Camboriú,Balneario de Camboriu,-26.9953,-48.6356,Brazil,BR,BRA,Santa Catarina,,124557.0,1076385564
Santana de Parnaíba,Santana de Parnaiba,-23.4439,-46.9178,Brazil,BR,BRA,São Paulo,,126574.0,1076401391
Sabará,Sabara,-19.8858,-43.8069,Brazil,BR,BRA,Minas Gerais,,126269.0,1076006379
Barbacena,Barbacena,-21.2167,-43.7667,Brazil,BR,BRA,Minas Gerais,,126284.0,1076877003
Uruguaiana,Uruguaiana,-29.755,-57.0878,Brazil,BR,BRA,Rio Grande do Sul,,125435.0,1076680267
Resende,Resende,-22.4689,-44.4469,Brazil,BR,BRA,Rio de Janeiro,,125214.0,1076678781
Varginha,Varginha,-21.5517,-45.43,Brazil,BR,BRA,Minas Gerais,,123081.0,1076731794
Santana,Santana,-0.035,-51.175,Brazil,BR,BRA,Amapá,,123096.0,1076974952
Itatiba,Itatiba,-23.0058,-46.8389,Brazil,BR,BRA,São Paulo,,122581.0,1076747401
Bragança,Braganca,-1.0628,-46.7728,Brazil,BR,BRA,Pará,,122881.0,1076855072
Barretos,Barretos,-20.5569,-48.5678,Brazil,BR,BRA,São Paulo,,122833.0,1076042195
Bento Gonçalves,Bento Goncalves,-29.1708,-51.5189,Brazil,BR,BRA,Rio Grande do Sul,,121803.0,1076492877
Guarapari,Guarapari,-20.65,-40.5,Brazil,BR,BRA,Espírito Santo,,121506.0,1076076726
Ribeirão Pires,Ribeirao Pires,-23.7153,-46.4194,Brazil,BR,BRA,São Paulo,,120396.0,1076050419
Apucarana,Apucarana,-23.5508,-51.4608,Brazil,BR,BRA,Paraná,,120919.0,1076256387
Valinhos,Valinhos,-22.9706,-46.9958,Brazil,BR,BRA,São Paulo,minor,120258.0,1076809155
Cachoeirinha,Cachoeirinha,-29.9508,-51.0939,Brazil,BR,BRA,Rio Grande do Sul,,118278.0,1076573967
Sertãozinho,Sertaozinho,-21.1381,-47.9906,Brazil,BR,BRA,São Paulo,,120152.0,1076989194
Poá,Poa,-23.5286,-46.345,Brazil,BR,BRA,São Paulo,,113793.0,1076905631
Várzea Paulista,Varzea Paulista,-23.2114,-46.8283,Brazil,BR,BRA,São Paulo,,116601.0,1076046083
Catanduva,Catanduva,-21.1378,-48.9728,Brazil,BR,BRA,São Paulo,,119480.0,1076772178
Toledo,Toledo,-24.7139,-53.7428,Brazil,BR,BRA,Paraná,,119313.0,1076312600
Araucária,Araucaria,-25.5928,-49.41,Brazil,BR,BRA,Paraná,,119123.0,1076784908
Paulo Afonso,Paulo Afonso,-9.4,-38.225,Brazil,BR,BRA,Bahia,,119214.0,1076084498
Guaratinguetá,Guaratingueta,-22.8167,-45.2278,Brazil,BR,BRA,São Paulo,,119073.0,1076125544
Barcarena Nova,Barcarena Nova,-1.5058,-48.6258,Brazil,BR,BRA,Pará,,118537.0,1076791102
Birigui,Birigui,-21.2886,-50.34,Brazil,BR,BRA,São Paulo,,118352.0,1076546798
Santa Cruz do Sul,Santa Cruz do Sul,-29.7178,-52.4258,Brazil,BR,BRA,Rio Grande do Sul,,118374.0,1076862896
Votorantim,Votorantim,-23.5469,-47.4378,Brazil,BR,BRA,São Paulo,,117794.0,1076604064
Codó,Codo,-4.455,-43.8858,Brazil,BR,BRA,Maranhão,,118038.0,1076537068
Araguari,Araguari,-18.6489,-48.1869,Brazil,BR,BRA,Minas Gerais,,116871.0,1076402865
Tatuí,Tatui,-23.3556,-47.8569,Brazil,BR,BRA,São Paulo,,116682.0,1076587962
Conselheiro Lafaiete,Conselheiro Lafaiete,-20.66,-43.7858,Brazil,BR,BRA,Minas Gerais,,116512.0,1076456009
Bagé,Bage,-31.3308,-54.1069,Brazil,BR,BRA,Rio Grande do Sul,,116794.0,1076515015
Itapipoca,Itapipoca,-3.4939,-39.5789,Brazil,BR,BRA,Ceará,,116065.0,1076980375
Três Lagoas,Tres Lagoas,-20.7511,-51.6783,Brazil,BR,BRA,Mato Grosso do Sul,,115561.0,1076281782
Salto,Salto,-23.2008,-47.2869,Brazil,BR,BRA,São Paulo,,114171.0,1076427264
Maranguape,Maranguape,-3.89,-38.6858,Brazil,BR,BRA,Ceará,,113561.0,1076845536
Ubá,Uba,-21.12,-42.9428,Brazil,BR,BRA,Minas Gerais,,113300.0,1076389529
Caraguatatuba,Caraguatatuba,-23.62,-45.4128,Brazil,BR,BRA,São Paulo,,113317.0,1076107372
Euriápolis,Euriapolis,-16.3778,-39.58,Brazil,BR,BRA,Bahia,,113191.0,1076770753
Campo Largo,Campo Largo,-25.4589,-49.5278,Brazil,BR,BRA,Paraná,,112377.0,1076072105
